set_name	sep	genes
U_lncRNA	FALSE	NEAT1,MALAT1,FIRRE
U_Spl   	FALSE	MAT2A,HNRNPH3,SAT1,HNRNPUL1,FUS
FUS_Spl 	FALSE	SNRPA,LSM4,SF3B2,SRSF9,FUS
UUL1FUS 	FALSE	HNRNPUL1,FUS,HNRNPU
Histones   	TRUE	H1-0,H1-1,H1-10,H1-12P,H1-2,H1-3,H1-4,H1-5,H1-6,H1-7,H1-8,H1-9P,H2AB1,H2AB2,H2AB3,H2AC1,H2AC10P,H2AC11,H2AC12,H2AC13,H2AC14,H2AC15,H2AC16,H2AC17,H2AC18,H2AC19,H2AC20,H2AC21,H2AC25,H2AC2P,H2AC3P,H2AC4,H2AC5P,H2AC6,H2AC7,H2AC8,H2AC9P,H2AJ,H2AL1MP,H2AL1Q,H2AL3,H2AP,H2AQ1P,H2AX,H2AZ1,H2AZ2,MACROH2A1,MACROH2A2,H2BC1,H2BC10,H2BC11,H2BC12,H2BC12L,H2BC13,H2BC14,H2BC15,H2BC16P,H2BC17,H2BC18,H2BC19P,H2BC20P,H2BC21,H2BC26,H2BC27P,H2BC2P,H2BC3,H2BC4,H2BC5,H2BC6,H2BC7,H2BC8,H2BC9,H2BK1,H2BL1P,H2BN1,H2BW1,H2BW2,H2BW3P,H2BW4P,H3-3A,H3-3B,H3-4,H3-5,H3-7,H3C1,H3C10,H3C11,H3C12,H3C13,H3C14,H3C15,H3C2,H3C3,H3C4,H3C5P,H3C6,H3C7,H3C8,H3C9P,H3Y1,H3Y2,CENPA,H4C1,H4C10P,H4C11,H4C12,H4C13,H4C14,H4C15,H4C16,H4C2,H4C3,H4C4,H4C5,H4C6,H4C7,H4C8,H4C9
snRNAs     	TRUE	RNU1-1,RNU1-2,RNU1-3,RNU1-4,RNU2-1,RNU4-1,RNU4-2,RNU4ATAC,RNU5A-1,RNU5B-1,RNU5D-1,RNU5E-1,RNU5F-1,RNU6-1,RNU6-2,RNU6-7,RNU6-8,RNU6-9,RNU6ATAC,RNU7-1,RNU11,RNU12
RNA_PolII_snRNA	TRUE	RNU1-1,RNU1-2,RNU1-3,RNU1-4,RNU2-1,RNU4-1,RNU4-2,RNU4ATAC,RNU5A-1,RNU5B-1,RNU5D-1,RNU5E-1,RNU5F-1,RNU7-1,RNU11,RNU12
Histone_example	FALSE	H1-2,H2BC21,H2AC20,H3C10
UL1_snRNA	FALSE	RNU4-1, RNU6-1, RNU7-1
IEG          	TRUE	CTGF,NR4A2,CYR61,DUSP1,FOSB,FOS,NR4A1,IL6,NR4A3,EGR1,ZFP36,EGR3,JUNB,ATF3,DSCR1,IEG,GRO3,BHLHB2,DUSP5,GEM,SLC2A3,PLAU,NFKBIA,IER3,SGK,IEG,COPEB,GADD45B,TIEG,FLG,MCL1,GBP1,*JUN*,KIAA0469,TNFAIP3,CEBPD,LOC57018,DTR,C8FW,LDLR,TSC22,F3,SCYA2,DUSP6,SRF,AXUD1,PMAIP1,ZFP36L2
IEG_examples	FALSE	FOS,JUN,NR4A1,EGR1
RPL_genes	TRUE	RPLP0,RPLP1,RPLP2,RPL3,RPL3L,RPL4,RPL5,RPL6,RPL7,RPL7A,RPL7L1,RPL8,RPL9,RPL10,RPL10A,RPL10L,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL22L1,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL39L,UBA52,RPL41
RPS_genes	TRUE    RPSA,RPS2,RPS3,RPS3A,RPS4X,RPS4Y1,RPS4Y2,RPS5,RPS6,RPS7,RPS8,RPS9,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS27L,RPS28,RPS29,FAU
Ribosomal_genes	TRUE	RPLP0,RPLP1,RPLP2,RPL3,RPL3L,RPL4,RPL5,RPL6,RPL7,RPL7A,RPL7L1,RPL8,RPL9,RPL10,RPL10A,RPL10L,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL22L1,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL39L,UBA52,RPL41,RPSA,RPS2,RPS3,RPS3A,RPS4X,RPS4Y1,RPS4Y2,RPS5,RPS6,RPS7,RPS8,RPS9,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS27L,RPS28,RPS29,FAU
